decision_id,analysis_area,decision_type,preregistered_decision,current_evidence_status,evidence,permitted_current_output,blocked_output,upgrade_condition,source_artifacts
analysis_unit,endpoint,unit_of_analysis,"Use one `(task_id, model, model_version, scaffold, k)` row as the task-level analysis unit; local QA rows are validation evidence only.",ready_for_future_rows,"run_schema_fields_present=[""k"", ""model"", ""model_version"", ""qa_stage"", ""scaffold"", ""task_id""]; run_rows=71; nonlocal_rows=3",State the analysis unit and exclude local QA from model-performance summaries.,Do not aggregate reference/wrong local QA rows into model capability estimates.,Keep run_results schema and integrity audits synchronized with any analysis-unit change.,data/run_results_schema.json;data/run_results.csv;reports/evaluation_protocol.md
primary_endpoint,endpoint,primary_endpoint,`successes_out_of_k` is a count; `pass_at_k` is binary and equals 1 only when at least one completed attempt succeeds.,ready_for_future_rows,"required_fields_present=[""attempts_completed"", ""k"", ""pass_at_k"", ""successes_out_of_k""]; primary_summary={""analysis_set"": ""primary_plan_coverage"", ""covered_cells_any"": ""1"", ""covered_cells_noninfra"": ""1"", ""group"": ""all"", ""group_by"": ""all"", ""infra_fail_rows"": ""1"", ""mean_pass_at_k"": ""0.0000"", ""notes"": ""Coverage of the planned accepted_v0 x scaffold sweep by committed provider rows."", ""planned_cells"": ""18"", ""rows_noninfra"": ""1"", ""rows_total"": ""2"", ""successes"": ""0"", ""timeout_rows"": ""0"", ""wilson_high"": ""0.7935"", ""wilson_low"": ""0.0000""}",Report pass@k arithmetic and keep smoke rows separated from exact-k evidence.,Do not treat successes_out_of_k as pass@k or report k=1 smoke rows as pass@10 evidence.,Maintain pass@k boundary and run-integrity audits after every provider sweep.,data/run_results_schema.json;reports/evaluation_protocol.md;reports/passk_claim_boundary_audit.md
primary_task_set,analysis_set,inclusion_rule,Headline task-performance analyses use `accepted_v0` tasks only; calibration rows are separate and rejected rows are excluded.,ready_with_small_n_caveat,accepted=6; calibration=8; rejected=12; plan_task_ids_match_accepted=True,Use accepted-core rows for local task-quality summaries and report calibration rows separately.,Do not mix calibration or rejected rows into accepted-core pass-rate claims.,Recompute plan rows after any accepted/calibration/rejected metadata status change.,data/task_metadata.csv;data/model_sweep_plan.csv;reports/evaluation_protocol.md
scaffold_ladder,scaffolds,planned_comparison,"The primary scaffold ladder is `one-shot`, `lookup`, and `lookup_unlimited`, crossed with every accepted task at fixed k.",planned_not_empirical,"plan_cells=18; scaffold_counts={""lookup"": 6, ""lookup_unlimited"": 6, ""one-shot"": 6}; plan_k_values=[""10""]",Describe the planned scaffold ladder and current coverage status.,Do not claim lookup or iterative-debug effects until every reported scaffold cell is covered for the same task/model set.,Run all accepted_v0 x scaffold cells for each reported model version.,data/scaffold_variants.csv;data/model_sweep_plan.csv;reports/evaluation_protocol.md
exact_k_coverage,coverage,coverage_rule,A primary pass@k cell is reportable only when non-infra rows cover the planned task/scaffold/model at the planned k.,blocked_by_undercoverage,"planned_cells=18; passk_ready=0; smoke_only=1; coverage={""missing"": 17, ""smoke_only"": 1}",Report coverage and blocked-performance status only.,Do not report aggregate accepted-core pass@k estimates or intervals from incomplete planned cells.,Cover all planned accepted-core cells with non-infra rows at the planned k.,data/model_sweep_coverage_audit.csv;reports/model_sweep_coverage_audit.md;reports/passk_claim_boundary_audit.md
infra_timeout_handling,run_accounting,exclusion_and_retention_rule,Retain infra failures and timeouts in raw run data and reliability summaries; exclude infra failures from capability means.,ready_for_future_rows,"accepted_summary={""analysis_set"": ""accepted_core_results"", ""covered_cells_any"": ""1"", ""covered_cells_noninfra"": ""1"", ""group"": ""all"", ""group_by"": ""all"", ""infra_fail_rows"": ""1"", ""mean_pass_at_k"": ""0.0000"", ""notes"": ""Committed accepted-core provider rows only. This is far below the planned sweep."", ""planned_cells"": ""18"", ""rows_noninfra"": ""1"", ""rows_total"": ""2"", ""successes"": ""0"", ""timeout_rows"": ""0"", ""wilson_high"": ""0.7935"", ""wilson_low"": ""0.0000""}",Report infra rows as provenance/reliability evidence only.,Do not silently drop infra failures from raw data or count them as solved capability rows.,Keep infra/timeout fields required in run_results and rerun integrity audits after sweeps.,data/run_results.csv;data/run_results_schema.json;reports/model_run_analysis.md
wilson_interval_rule,statistics,interval_rule,"For binary task-row means, report Wilson 95% intervals only after the planned cells for the stated analysis set are covered.",blocked_by_undercoverage,"supported_tiers=[""smoke_run_provenance""]; blocked_tiers=[""v0_1_primary_descriptive_performance"", ""scaffold_effect_comparison"", ""time_horizon_bucket_trend"", ""family_or_skill_summary"", ""failure_taxonomy_distribution"", ""locked_benchmark_population_claims""]; primary_tier_status=blocked",Show precision planning and blocked claim tiers.,Do not display performance intervals for the accepted core while planned coverage is missing.,Meet the minimum evidence row for the relevant statistical claim tier.,data/statistical_design_thresholds.csv;reports/statistical_analysis_plan.md;reports/statistical_reporting_audit.md
subgroup_threshold_rule,statistics,subgroup_rule,"Family, bucket, and skill summaries with fewer than five accepted tasks per reported group are coverage tables, not stable estimates.",blocked_by_small_groups,"accepted_bucket_counts={""T2"": 5, ""T3"": 1}; accepted_family_counts={""algorithm_correctness"": 1, ""direct_theorem_proving"": 1, ""informal_spec_to_formal"": 1, ""invariant_verification_ml_optimization"": 1, ""proof_repair_codebase"": 1, ""small_formal_library_construction"": 1}",Report family and bucket composition with singleton caveats.,"Do not interpret singleton family, skill, or T3 rows as stable subgroup performance estimates.",Reach at least five accepted tasks in every reported subgroup before interpreting subgroup means.,data/task_metadata.csv;data/statistical_design_thresholds.csv;reports/construct_validity_matrix.md
scaffold_delta_rule,scaffolds,paired_comparison_rule,"Scaffold deltas must compare the same accepted task set, model version, planned k, and non-infra rows across scaffolds.",blocked_by_undercoverage,"coverage={""missing"": 17, ""smoke_only"": 1}; observed_scaffold_rows={""lookup"": 6, ""lookup_unlimited"": 6, ""one-shot"": 6}",State scaffold deltas as planned analyses only.,Do not infer lookup or iterative-debug gains from one-shot-only smoke rows.,Collect complete paired rows for every accepted task under each reported scaffold.,data/model_sweep_plan.csv;data/model_sweep_coverage_audit.csv;reports/evaluation_protocol.md
failure_label_rule,failure_analysis,failure_label_rule,Failure distributions require transcript-reviewed non-infra failures and use the committed failure-label codebook.,workflow_ready_data_blocked,"failure_schema_fields_present=[""primary_label"", ""rationale"", ""transcript_link""]; codebook_label_count=13; noninfra_failure_rows=1; failure_review_rows=3",Report the transcript-review workflow and smoke labels as provenance only.,Do not claim dominant failure modes from single-review smoke rows or unreviewed transcripts.,Collect enough non-infra failed provider rows and independent review labels before reporting distributions.,data/failure_label_schema.json;data/failure_labels.csv;data/failure_label_reviews.csv;reports/failure_label_review_audit.md
human_time_rule,calibration,calibration_rule,Human-time trends require independent Lean-human timing; never infer human time from model pass rates.,blocked_by_missing_timing,human_time_observation_rows=0; accepted_tasks=6,Report author/reviewer p50/p90 estimates and missing independent timing as a limitation.,Do not claim calibrated time-horizon scaling from metadata estimates alone.,Collect independent timing observations for every accepted task before freeze.,data/human_time_observations.csv;reports/human_time_calibration_audit.md;reports/human_timing_collection_packet.md
hosted_freeze_rule,operational_validity,freeze_rule,"Locked-benchmark claims require hosted QA, Env Linter disposition, exact problem-version mapping, and final source/export hashes.",blocked_by_hosted_qa,hosted_block_rows=6,State local readiness and hosted-QA blockers.,"Do not call the artifact hosted-QA-cleared, frozen, or locked.",Run hosted Full Env QA/Env Linter and commit exact version evidence before freeze.,data/hosted_qa_readiness_audit.csv;reports/hosted_qa_readiness_audit.md;reports/freeze_readiness_roadmap.md
