claim_id,claim_area,authorization_status,allowed_wording,required_caveat,forbidden_wording,current_evidence,evidence_to_upgrade,blocking_requirements,source_artifacts
local_artifact_validity,artifact_validity,allowed_with_caveat,"The repo is a locally validated v0.1 research artifact with public tasks, hidden checks, Lean scoring, integrity scans, and metadata.","Say this is local validation only; hosted QA, independent timing, and full model sweeps are outside the current evidence.","Do not call the artifact a locked benchmark, final benchmark, or hosted-QA-cleared benchmark.","`local_release_artifact`=supported/high: This is a local artifact claim, not a hosted/frozen benchmark claim.; `public_prompts_scaffolds`=supported: Release assets: 14/14 prompts; 14/14 public-file sets.; `hidden_references_pins`=supported: Release hidden assets: 14/14 references; 14/14 PinCheck files.; `wrong_submission_controls`=supported: Accepted tasks with at least two wrong submissions: 6/6.; `automatic_lean_scoring`=supported: validate_task.py exists: True; validation command rows: 68.; `forbidden_construct_scan`=supported: forbidden_constructs.py exists: True; validate_task calls scanner: True.; `axiom_audit_policy`=supported: docs/axiom_policy.md exists: True; validate_task uses #print axioms: True.; `metadata_completeness`=supported: 26 task metadata rows checked; missing fields sample: [].; `data_schema_manifest`=supported: schema rows: 9; required datasets covered: 9/9; statuses: {""codebook_valid"": 1, ""documented_projection"": 1, ""empty_ready"": 3, ""inventory_documented"": 1, ""schema_valid"": 3}; problem rows: 0; report exists: True.; `run_result_semantics`=supported: 71 run-result rows checked; semantic errors sample: [].; `scaffold_support`=supported: 3 scaffold variants configured; runner exposes lookup command: True; runner preserves requested k attempts: True; scaffold audit rows: 11; scaffold audit failures: 0.; `lookup_scaffold_no_hidden_leak`=supported: lookup_roots_public_only=pass; lookup_hidden_leak_scan=pass.; `public_export_no_hidden_leak`=supported: Public export exists: True; exported tasks: 14; hidden/wrong paths: 0.","Hosted QA evidence, independent review, full scaffold sweeps, and a larger accepted set.",,reports/claim_evidence_audit.md;reports/requirement_coverage.md;reports/data_schema_manifest.md;reports/analysis_decision_register.md;reports/security_leakage_audit.md;reports/reviewer_reproduction_packet.md;reports/clean_workspace_replay.md;reports/validation_manifest.json;reports/passk_claim_boundary_audit.md;reports/peer_review_matrix.md
research_report_scope,report_validity,allowed_with_caveat,"The report is a generated research review memo that makes task-quality, grading, reproducibility, and evidence-limit claims from committed artifacts.","Pair this with the limitations that broad provider sweeps, independent human timing, completed independent task reviews, and hosted QA are missing.",Do not describe the report as proving frontier capability trends or benchmark-valid pass-rate effects.,"`research_report_evidence`=supported/high: The report is still limited by missing broad model sweeps, independent human timing, and completed independent task reviews.; threat statuses={""block"": 8, ""caution"": 3, ""controlled"": 2}","Complete the planned model sweeps, collect independent timing and task-quality reviews, and add hosted QA/finding dispositions.",scaffold_result_comparison;frontier_model_evidence;independent_human_time_review;independent_task_quality_review;hosted_qa_env_linter,reports/metr_style_report.md;reports/accepted_task_cards.md;reports/independent_task_review_packet.md;reports/independent_review_status_audit.md;reports/data_schema_manifest.md;reports/analysis_decision_register.md;reports/security_leakage_audit.md;reports/reviewer_reproduction_packet.md;reports/clean_workspace_replay.md;reports/figure_manifest.md;reports/threats_to_validity.md;reports/release_decision_log.md
accepted_core_quality,task_validity,allowed_with_caveat,The six accepted-core tasks are internally reviewed and stronger than the original candidate pool.,"Say the core is small, internally reviewed, and still has caveat rows; do not generalize from family-level singletons.","Do not say the accepted set is benchmark-grade, representative, or sufficient for population-level model claims.","`accepted_core_reviewed`=supported/medium: This is an internal-review claim. The independent task-review workflow is present, but no completed non-author review rows are committed.; `portfolio_accepted_count`=not_met: 6 accepted_v0 tasks; 8 calibration-only tasks; 12 rejected archive tasks.; `candidate_pruning_audit`=supported: pruning rows: 26; metadata rows: 26; rejected rows: 12/12; calibration rows: 8/8; non-core rows with exclusion reasons: 20/20; report exists: True.; `accepted_task_cards`=supported: accepted task cards: 6; accepted rows: 6; missing ids: 0; extra ids: 0; blocker rows: 6; report exists: True.; `independent_task_review_packet`=supported: review plan rows: 6; accepted tasks covered: 6/6; template rows: 6; observation rows: 0; hidden-reference command leaks: False; report exists: True.; `independent_task_review_status_audit`=supported: review-status rows: 5; required checks covered: 5/5; failures: 0; blocks: 1; report exists: True.; `independent_task_quality_review`=not_met: Accepted tasks with completed independent task reviews: 0/6; review rows: 0; status-audit rows: 5.; `diagnostic_coverage_audit`=supported: diagnostic coverage rows: 15; required checks covered: 15/15; failures: 0; cautions: 3; blocks: 1; report exists: True.; `construct_validity_matrix`=supported: construct rows: 6; accepted rows: 6; missing accepted ids: 0; extra ids: 0; singleton-limit rows: 3; claim-limit rows: 6; report exists: True.",Completed independent Lean-human task-quality reviews plus more hard-reviewed T2/T3/T4 accepted tasks.,portfolio_accepted_count;time_horizon_spread;independent_task_quality_review,reports/accepted_task_review.md;reports/task_quality_matrix.md;reports/candidate_pruning_audit.md;reports/accepted_task_cards.md;reports/independent_task_review_packet.md;reports/independent_review_status_audit.md;reports/construct_validity_matrix.md;reports/difficulty_audit.md
hidden_pin_and_grader_strength,grading_validity,allowed_with_caveat,"Hidden checks provide meaningful anti-gaming probes for accepted tasks, especially mutable-definition semantic-pin tasks.","Note that proof-only fixed-statement rows mostly rely on Lean typechecking plus downstream signature guards, and all pins are finite probes.",Do not claim hidden pins prove full semantic equivalence or catch every weakened formalization.,`hidden_pin_strength`=supported/medium: Proof-only fixed-statement rows do not have semantic hidden wrongs because Lean compilation already certifies exact same-signature theorem proofs; hidden pins remain finite probes.; `pin_coverage_audit`=supported: pin_coverage rows: 26; accepted rows: 6; accepted hidden-pin wrong failures: 7; mutable accepted rows with hidden-pin failures: 4/4; proof-only fixed-statement rows: 2; report exists: True.; `grader_hardening_audit`=supported: grader hardening rows: 9; required checks covered: 9/9; failures: 0; report exists: True.,Independent pin review and additional same-signature hidden-pin failures for future mutable-definition tasks.,,reports/pin_coverage_audit.md;reports/grader_hardening_audit.md;tasks/*/*/hidden/PinCheck.lean
run_data_integrity,data_validity,allowed,"Committed run-result rows are internally consistent with transcripts, score vectors, failure labels, and pass@k arithmetic.",No extra caveat is needed for this narrow data-integrity wording; add the limitation before discussing model performance.,"Do not infer model pass rates, scaffold effects, or failure distributions from local QA rows.","`run_data_integrity`=supported/high: This validates data hygiene only; it does not make the smoke rows representative.; `data_schema_manifest`=supported: schema rows: 9; required datasets covered: 9/9; statuses: {""codebook_valid"": 1, ""documented_projection"": 1, ""empty_ready"": 3, ""inventory_documented"": 1, ""schema_valid"": 3}; problem rows: 0; report exists: True.; `run_integrity_audit`=supported: run_integrity rows: 71; run_results rows: 71; failing rows: 0; report exists: True.; `run_result_semantics`=supported: 71 run-result rows checked; semantic errors sample: [].",Keep zero failing run-integrity rows after broad provider sweeps and transcript review.,,data/run_results.csv;data/data_schema_manifest.csv;reports/data_schema_manifest.md;reports/run_integrity_audit.md;data/run_results_schema.json
time_horizon_scope,construct_validity,allowed_with_caveat,The artifact explores a limited T2/T3-only slice of time-horizon evaluation design.,"State that accepted human times are author/reviewer estimates, there is no T4 row, and no independent timing observations are committed.",Do not claim robust measurement of increasing time horizon or calibrated human-time scaling.,"`time_horizon_measurement`=partial/low: Accepted core has only T2/T3 coverage and no T4; human times are author/reviewer estimates rather than independent solves.; `time_horizon_spread`=partial: Accepted bucket counts: {""T2"": 5, ""T3"": 1}; release bucket counts: {""T1"": 8, ""T2"": 5, ""T3"": 1}.; `independent_human_time_review`=partial: Accepted tasks with manual_review_complete: 6/6; accepted tasks with successful independent timing observations: 0/6; observation rows: 0.","Add independently timed T3/T4 rows, including at least one T4 task, before stronger time-horizon claims.",time_horizon_spread;independent_human_time_review,reports/human_time_calibration_audit.md;reports/human_timing_collection_packet.md;data/human_time_observations.csv
scaffold_effects,performance_claim,blocked,The scaffold ladder and execution plan are implemented; empirical scaffold-effect conclusions are not yet supported.,Only describe planned scaffold comparisons and the fact that current provider rows do not cover lookup or iterative debug cells.,"Do not claim lookup helps, iterative compile/debug helps, or scaffold effects are measured from committed rows.","`scaffold_effects`=unsupported/none: The scaffold ladder is implemented and planned, but real accepted-core provider data cover only one one-shot cell.; `scaffold_result_comparison`=partial: Non-infra model rows: 2; smoke scaffolds observed: [""one-shot""]; pass@k-ready cells: 0/18; pass@k-ready scaffolds: []; coverage statuses: {""missing"": 17, ""smoke_only"": 1}.; `model_sweep_coverage_audit`=supported: coverage rows: 18; planned cells: 18; required fields present: True; planned cell ids covered: 18/18; statuses: {""missing"": 17, ""smoke_only"": 1}; report exists: True.; `passk_claim_boundary_audit`=supported: pass@k-boundary rows: 7; required checks covered: 7/7; failures: 0; report exists: True.; `model_sweep_execution_packet`=supported: command rows: 12; checklist rows: 7; scaffolds: [""lookup"", ""lookup_unlimited"", ""one-shot""]; providers: [""anthropic"", ""command"", ""gemini"", ""openai""]; key assignment leaks: 0; report exists: True.","Run accepted-core pass@k rows across one-shot, lookup, and lookup_unlimited with documented provider versions.",scaffold_result_comparison;frontier_model_evidence,reports/evaluation_protocol.md;reports/model_sweep_execution_packet.md;reports/model_run_analysis.md;reports/passk_claim_boundary_audit.md
frontier_model_performance,performance_claim,blocked,No frontier-performance conclusion is authorized from the committed provider smoke rows.,"It is acceptable to state that provider adapters and smoke transcripts exist, but they are not benchmark results.",Do not report committed smoke rows as characterizing frontier capability or model rankings.,"`frontier_performance`=unsupported/none: Only tiny smoke evidence is committed, including an infra failure; local QA rows are not model performance.; `frontier_model_evidence`=partial: Non-infra model rows: 2 over 6 accepted tasks; total model rows including infra failures: 3.; `provider_readiness_audit`=supported: provider readiness rows: 12; required checks covered: 12/12; failures: 0; cautions: 1; blocks: 1; report exists: True.",Run documented frontier/open-model sweeps after local and hosted QA are stable.,frontier_model_evidence;scaffold_result_comparison,reports/provider_readiness_audit.md;reports/model_run_analysis.md;data/run_results.csv
failure_taxonomy_results,failure_analysis,allowed_with_caveat,"The repo has a failure-label schema, transcript links, a transcript review queue, and a single-review audit for the committed smoke rows.","Current adjudication is single-review smoke evidence only: reviewed rows 3/3, raw queue rows still marked unreviewed in run_results 3, audit failures 0.","Do not claim dominant failure modes, distributional failure analysis, or adjudicated taxonomy results.",`transcript_failure_workflow`=supported: run_results rows: 71; local QA rows: 68; model rows: 3.; `transcript_review_packet`=supported: queue rows: 3; non-local run ids covered: 3/3; template rows: 3; missing transcripts in queue: 0; prefilled template labels: 0; report exists: True.; `failure_label_review_audit`=supported: review rows: 3; queue rows covered: 3/3; audit checks: 6; required checks covered: 6/6; failures: 0; report exists: True.,Collect independently adjudicated non-local transcripts after broad provider sweeps.,,reports/transcript_review_packet.md;reports/failure_label_review_audit.md;data/failure_label_reviews.csv;data/failure_label_review_template.csv;data/failure_label_schema.json
statistical_performance_reporting,statistical_validity,blocked,Statistical reporting checks exist and currently block recommended performance plots.,"Describe the statistical audit as a guardrail for future sweeps, not as performance evidence.","Do not publish pass@10-by-scaffold plots, family means, or confidence intervals as substantive results yet.","`statistical_analysis_plan`=supported: statistical tiers: 7; required tiers covered: 7/7; blocked tiers: 6; supported tiers: 1; precision rows: 18; precision n values: [""1"", ""18"", ""20"", ""30"", ""50"", ""6""]; report exists: True.; `statistical_reporting_audit`=supported: statistical audit rows: 9; required checks covered: 9/9; failures: 0; blocked performance outputs: 5; report exists: True.; `figure_manifest_audit`=supported: figure rows: 10; required plots covered: 10/10; generated rows: 5; blocked performance rows: 5; problem rows: 0; report exists: True.; statistical block rows=5","Run sufficiently covered accepted-core sweeps and report raw n, task-row numerators, and intervals.",scaffold_result_comparison;frontier_model_evidence,reports/statistical_analysis_plan.md;data/statistical_design_thresholds.csv;data/wilson_precision_table.csv;reports/statistical_reporting_audit.md;data/statistical_reporting_audit.csv;reports/figure_manifest.md;data/figure_manifest.csv;reports/model_run_analysis.md
hosted_qa_status,operational_validity,blocked,"Hosted/Taiga QA readiness has been audited, and the hosted QA evidence is currently absent.",State only that local validation is ready for a hosted QA loop; do not imply hosted checks have run.,"Do not claim Full Env QA passed, Env Linter findings are settled, or hosted problem versions are frozen.",`hosted_qa_env_linter`=not_met: Hosted QA artifacts present: 0/2; hosted readiness report exists: True; blocked hosted-readiness checks: 6.; `hosted_qa_readiness_audit`=supported: hosted QA readiness rows: 12; required checks covered: 12/12; failures: 0; blocked hosted-QA steps: 6; report exists: True.,"Run hosted Full Env QA, record Env Linter findings/rebuttals, and commit exact problem-version evidence.",hosted_qa_env_linter,reports/hosted_qa_readiness_audit.md;reports/freeze_readiness_roadmap.md
locked_benchmark_status,benchmark_status,blocked,v0.1 is not a locked benchmark; it is a local v0.1 research artifact with explicit blockers.,Every report summary should preserve this boundary until all locked-benchmark gates are satisfied.,"Do not call v0.1 final, locked, population-valid, or suitable for benchmark headline claims.","`locked_benchmark`=unsupported/none: The artifact has 6 accepted tasks, no hosted QA, no independent timing or completed non-author task reviews, no T4 accepted task, and limited provider data.; `freeze_readiness_roadmap`=supported: freeze roadmap rows: 10; required gates covered: 10/10; statuses: {""block"": 8, ""caution"": 1, ""ready"": 1}; report exists: True.; locked blockers=portfolio_accepted_count;time_horizon_spread;scaffold_result_comparison;frontier_model_evidence;independent_human_time_review;independent_task_quality_review;hosted_qa_env_linter","Reach 20-50 accepted tasks, add T3/T4 depth, collect independent timing, complete scaffold/provider sweeps, run hosted QA, and freeze exact public versions.",portfolio_accepted_count;time_horizon_spread;scaffold_result_comparison;frontier_model_evidence;independent_human_time_review;independent_task_quality_review;hosted_qa_env_linter,reports/freeze_readiness_roadmap.md;reports/release_decision_log.md;reports/threats_to_validity.md
