task_id,title,split,family,acceptance_status,difficulty_review_status,audit_recommendation,mechanical_reference_proof_lines,mechanical_declaration_count,mechanical_file_count,mechanical_public_lemma_count,mechanical_tactic_profile,mechanical_automation_dominated,mechanical_mathlib_required,mechanical_multifile_context,mechanical_hidden_pin_strength,mechanical_hidden_check_count,mechanical_hidden_example_count,mechanical_wrong_submission_count,manual_time_bucket,manual_human_minutes_p50,manual_human_minutes_p90,manual_frontier_model_one_shot_likelihood,manual_diagnostic_value,manual_scaffold_sensitivity,manual_final_reason,requires_library_search,requires_decomposition,requires_semantic_formalization,requires_proof_debugging,requires_codebase_navigation,requires_invariant_design,requires_long_horizon_construction
lt-001,append correctness for a list sum,dev,algorithm_correctness,calibration_only,manual_review_complete,calibration_only,8,2,1,1,"{""induction"": 1, ""simp"": 2}",true,false,false,semantic,1,4,2,T1,25,45,likely,medium,low_to_medium; lookup helps with arithmetic normalization lemmas,"calibration_only: T1 list induction smoke row; retained to verify harness behavior, not counted as core benchmark difficulty.",false,true,false,false,false,false,false
lt-002,append correctness for a Boolean counter,dev,algorithm_correctness,calibration_only,manual_review_complete,calibration_only,8,2,1,1,"{""cases"": 1, ""induction"": 1, ""simp"": 2}",true,false,false,semantic,1,4,2,T1,20,40,likely,medium,low; compile feedback mainly helps tactic cleanup,calibration_only: T1 Bool/list induction row; useful for lower-bound calibration and wrong-definition pins.,false,true,false,false,false,false,false
lt-003,queue enqueueAll size repair,dev,proof_repair_codebase,calibration_only,manual_review_complete,calibration_only,11,6,1,2,"{""induction"": 1, ""simp"": 3}",true,false,false,semantic,2,4,2,T1,35,60,likely,medium,medium; iterative compile feedback helps repair the generalized induction,calibration_only: small proof-repair shape retained as a codebase-navigation smoke row; too short for core benchmark status.,false,true,false,true,true,false,false
lt-004,formalize prefix as append by a suffix,dev,informal_spec_to_formal,calibration_only,manual_review_complete,calibration_only,5,3,1,2,"{""exact"": 2, ""simp"": 2}",false,false,false,semantic,2,4,2,T1,30,55,likely,medium,medium; hidden pins primarily test semantic interpretation rather than API lookup,calibration_only: compact semantic-formalization row retained to test vacuity and endpoint-only wrong specs.,false,false,true,false,false,false,false
lt-005,capped projection invariant and idempotence,dev,invariant_verification_ml_optimization,rejected_too_easy,audited_rejected,rejected_too_easy,9,3,1,2,"{""omega"": 1, ""simp"": 1, ""split"": 2, ""unfold"": 2}",false,false,false,semantic,2,3,1,T1,25,50,very_likely,low,medium; compile feedback helps with conditional splits and arithmetic obligations,"rejected_too_easy: branch proof is dominated by unfolding, simp, and omega; weak diagnostic signal.",false,false,false,false,false,true,false
lt-201,multi-file cache touchAll proof repair,dev,proof_repair_codebase,accepted_v0,manual_review_complete,accepted_v0,25,9,2,4,"{""cases"": 2, ""induction"": 2, ""simp"": 6}",true,false,true,semantic,4,6,2,T2,75,150,maybe,high,high; compile/debug feedback should help align imports and generalized induction,"accepted_v0_keep_with_caveat: reference proof is automation-dominated, but the task is retained for multi-file navigation, fixed API semantics, and generalized batch repair; needs independent review before any locked benchmark claim.",false,true,false,true,true,false,false
lt-203,formalize exact list coverage modulo multiplicity,dev,informal_spec_to_formal,accepted_v0,manual_review_complete,accepted_v0,30,5,1,4,"{""constructor"": 1, ""exact"": 7, ""intro"": 6, ""rcases"": 2, ""rfl"": 1, ""simp"": 2}",false,false,false,semantic,4,5,2,T2,90,180,maybe,high,"high; lookup helps list membership simplification, pins diagnose semantic mismatch","accepted_v0: spec-to-formal task with hidden pins rejecting vacuous, equality-only, and duplicate-sensitive interpretations.",false,true,true,true,false,false,false
lt-101,tail-recursive reverse preserves length,test,algorithm_correctness,calibration_only,manual_review_complete,calibration_only,11,4,1,2,"{""induction"": 1, ""simp"": 2}",true,false,false,semantic,2,3,2,T1,35,70,likely,medium,medium; lookup and retries help discover generalizing acc and length_append,calibration_only: tail-recursive accumulator proof retained as a T1 calibration row; not core long-horizon material.,false,true,false,false,false,false,false
lt-102,extracting present optional values cannot increase length,test,algorithm_correctness,rejected_too_easy,audited_rejected,rejected_too_easy,8,2,1,1,"{""cases"": 1, ""induction"": 1, ""omega"": 1, ""simp"": 2}",true,false,false,mixed,1,2,1,T1,25,50,very_likely,low,low_to_medium; compile feedback helps identify missing option case,"rejected_too_easy: option/list proof is mostly cases, induction, simp, and omega.",false,true,false,false,false,false,false
lt-103,mirroring a binary tree preserves size,test,algorithm_correctness,rejected_too_easy,audited_rejected,rejected_too_easy,8,4,1,1,"{""induction"": 1, ""simp"": 2}",true,false,false,mixed,1,2,1,T1,40,80,likely,low,medium; lookup helps find arithmetic commutativity/associativity simp pattern,rejected_too_easy: tree-size proof is a short structural induction with arithmetic simplification.,false,true,false,false,false,false,false
lt-104,stack pushAll size proof repair,test,proof_repair_codebase,rejected_duplicate,audited_rejected,rejected_duplicate,11,6,1,2,"{""induction"": 1, ""simp"": 3}",true,false,false,mixed,2,2,1,T1,35,65,likely,low,medium; compile/debug iterations help expose the missing generalized induction,rejected_duplicate: overlaps strongly with lt-003 queue/stack size repair and is similarly short.,false,true,false,true,true,false,false
lt-105,counter batched increment proof repair,test,proof_repair_codebase,calibration_only,manual_review_complete,calibration_only,11,6,1,2,"{""induction"": 1, ""rfl"": 1, ""simp"": 2}",true,false,false,semantic,2,5,2,T1,40,80,likely,medium,medium_to_high; iterative compile/debug helps align recursive equation and sum algebra,"calibration_only: same-signature semantic wrongs are useful, but the reference proof is short and automation-dominated; T2/core status was too generous.",false,true,false,true,true,false,false
lt-106,formalize suffix as append after a prefix,test,informal_spec_to_formal,rejected_duplicate,audited_rejected,rejected_duplicate,5,3,1,2,"{""exact"": 2, ""simp"": 2}",false,false,false,mixed,2,2,1,T1,30,60,likely,low,medium; stronger scaffolds help debug semantic mismatches but not ambiguous specs,rejected_duplicate: suffix version duplicates lt-004 prefix semantic-calibration role.,false,false,true,false,false,false,false
lt-107,formalize contains-all as membership implication,test,informal_spec_to_formal,calibration_only,manual_review_complete,calibration_only,10,3,1,2,"{""exact"": 1, ""intro"": 2, ""simp"": 1}",false,false,false,semantic,2,5,2,T1,35,70,likely,medium,high; lookup can help with list membership simplification while hidden pins test semantic correctness,"calibration_only: hidden pins catch vacuous and nonempty-only specs, but the formalization surface is too compact for accepted core status.",false,false,true,false,false,false,false
lt-108,formalize adjacent nondecreasing order,test,informal_spec_to_formal,calibration_only,manual_review_complete,calibration_only,9,4,1,3,"{""exact"": 1}",false,false,false,semantic,3,4,2,T1,40,80,likely,medium,"medium; hidden pins diagnose semantic mismatch, retries help align recursive equations","calibration_only: good semantic pins for dropped-tail and first-pair-only definitions, but the proof surface is too small for core benchmark status.",false,true,true,false,false,false,false
lt-109,bounded budget spend invariant,test,invariant_verification_ml_optimization,rejected_too_easy,audited_rejected,rejected_too_easy,13,4,1,3,"{""omega"": 2, ""simp"": 1, ""split"": 2, ""unfold"": 3}",false,false,false,semantic,3,3,1,T1,30,60,very_likely,low,medium; compile feedback helps conditional branch and arithmetic cleanup,rejected_too_easy: budget invariant is mostly nested if-splitting plus omega.,false,false,false,false,false,true,false
lt-110,toy descent step monotonicity,test,invariant_verification_ml_optimization,rejected_too_easy,audited_rejected,rejected_too_easy,9,4,1,2,"{""exact"": 1, ""omega"": 1, ""unfold"": 2}",false,false,false,semantic,2,3,1,T1,25,50,very_likely,low,low_to_medium; lookup helps find Nat.le_trans or subtraction lemmas,"rejected_too_easy: one arithmetic monotonicity fact, too small for core benchmark use.",false,false,false,false,false,true,false
lt-111,clipped interval projection invariant,test,invariant_verification_ml_optimization,rejected_too_easy,audited_rejected,rejected_too_easy,9,3,1,2,"{""omega"": 2, ""split"": 4, ""unfold"": 2}",false,false,false,semantic,2,4,1,T2,75,150,likely,low,high; iterative compile/debug is expected to help with branch-local hypotheses,rejected_too_easy: interval clipping invariant is useful as a candidate idea but reference is omega-dominated.,false,false,false,false,false,true,false
lt-112,tiny Vec2 addition library,test,small_formal_library_construction,rejected_too_easy,audited_rejected,rejected_too_easy,15,6,1,3,"{""cases"": 5, ""simp"": 3}",true,false,false,mixed,3,2,1,T1,35,70,very_likely,low,medium; lookup helps with structure case analysis and Nat.add_assoc,rejected_too_easy: structure wrapper proofs are cases/simp dominated.,false,false,false,false,false,false,true
lt-113,append-only log library,test,small_formal_library_construction,rejected_too_easy,audited_rejected,rejected_too_easy,20,9,1,4,"{""cases"": 7, ""simp"": 4}",true,false,false,mixed,4,2,1,T2,55,110,likely,medium,high; lookup should help find List.append_assoc and length simplification,rejected_too_easy: small library interface is useful but cases/simp dominated; not promoted to avoid inflating accepted count.,false,true,false,false,false,false,true
lt-114,Option Nat default and mapSucc utility library,test,small_formal_library_construction,rejected_too_easy,audited_rejected,rejected_too_easy,13,6,1,4,"{""rfl"": 4}",true,false,false,mixed,4,2,1,T1,25,45,very_likely,low,low; mainly tests exact API construction and avoiding off-by-one semantics,rejected_too_easy: nearly all rfl; harness smoke only.,false,false,false,false,false,false,true
lt-115,direct proof by repeated right cancellation,test,direct_theorem_proving,rejected_too_easy,audited_rejected,rejected_too_easy,6,1,1,1,"{""exact"": 1}",false,false,false,mixed,1,1,1,T1,20,45,very_likely,low,high; lookup should strongly improve discovery of the cancellation lemma,rejected_too_easy: direct proof is one obvious library cancellation lemma.,true,false,false,false,false,false,false
lt-202,Mathlib set image/preimage package,test,direct_theorem_proving,accepted_v0,manual_review_complete,accepted_v0,46,5,1,5,"{""constructor"": 1, ""exact"": 9, ""intro"": 17, ""rcases"": 6, ""rfl"": 1, ""rw"": 3}",false,true,false,mixed,5,2,2,T2,90,180,maybe,medium_high,high; lookup should materially help with Set.image membership and subset_antisymm,"accepted_v0_keep_with_caveat: Mathlib-adjacent theorem package requiring image/preimage API lookup, premise selection, and witness decomposition; hidden checks mostly protect fixed theorem signatures rather than semantic formalization choices.",true,true,false,false,false,false,false
lt-204,capped-list optimizer invariant package,test,invariant_verification_ml_optimization,accepted_v0,manual_review_complete,accepted_v0,36,10,1,6,"{""exact"": 2, ""induction"": 3, ""omega"": 2, ""simp"": 6, ""split"": 2, ""unfold"": 2}",false,false,false,semantic,6,8,3,T2,100,200,maybe,high,high; iterative compile/debug helps isolate helper lemmas,"accepted_v0: optimizer-style invariant package with helper lemmas for cap bounds, list preservation, and sum monotonicity.",false,true,false,false,false,true,true
lt-205,count-based bag library construction,test,small_formal_library_construction,accepted_v0,manual_review_complete,accepted_v0,42,12,1,8,"{""exact"": 2, ""induction"": 1, ""intro"": 4, ""omega"": 1, ""rfl"": 2, ""rw"": 3, ""simp"": 6}",false,false,false,semantic,8,5,3,T3,150,300,unlikely,high,high; lookup and compile/debug should help with arithmetic normalization and theorem reuse,accepted_v0: T3 small library construction with dependent count lemmas and downstream BagEq reuse; expected to be hard one-shot.,false,true,false,false,false,false,true
lt-206,partition/count correctness package,test,algorithm_correctness,accepted_v0,manual_review_complete,accepted_v0,60,9,1,5,"{""exact"": 1, ""induction"": 4, ""omega"": 5, ""simp"": 14}",true,false,false,semantic,5,6,2,T2,100,210,maybe,high,high; iterative compile/debug helps align the four mutually reinforcing invariants,"accepted_v0_keep_with_caveat: reference proof uses substantial simp/omega automation, but the task is retained for the multi-lemma partition invariant, side predicates, and duplicate-sensitive count preservation; needs independent review before any locked benchmark claim.",false,true,false,false,false,true,true
