claim_id,claim_area,authorization_status,claim_support_status,evidence_strength,upgrade_priority,blocking_requirements,blocking_requirement_statuses,minimum_evidence_package,exit_criteria,allowed_wording_now,forbidden_overclaim,source_artifacts
local_artifact_validity,artifact_validity,allowed_with_caveat,supported,high,medium,hosted_qa_env_linter;independent_human_time_review;scaffold_result_comparison;portfolio_accepted_count,"`hosted_qa_env_linter`=not_met: Hosted QA artifacts present: 0/2; hosted readiness report exists: True; blocked hosted-readiness checks: 9.; `independent_human_time_review`=partial: Accepted tasks with manual_review_complete: 6/6; accepted tasks with successful independent timing observations: 0/6; observation rows: 0.; `scaffold_result_comparison`=partial: Non-infra model rows: 2; scaffolds observed: [""one-shot""]; planned rows: 18.; `portfolio_accepted_count`=not_met: 6 accepted_v0 tasks; 8 calibration-only tasks; 12 rejected archive tasks.","Hosted QA evidence, independent timing/review, broader accepted-task scale, and real scaffold sweeps if this wording is upgraded beyond local artifact validity.","The local-only caveat can be relaxed only after hosted QA, independent timing, accepted-count, and scaffold-sweep gates are all supported.","The repo is a locally validated v0.1 research artifact with public tasks, hidden checks, Lean scoring, integrity scans, and metadata.","Do not call the artifact a locked benchmark, final benchmark, or hosted-QA-cleared benchmark.",reports/claim_authorization_matrix.md;reports/claim_evidence_audit.md;reports/requirement_coverage.md;reports/validation_manifest.json;reports/hosted_qa_readiness_audit.md;reports/human_time_calibration_audit.md
research_report_scope,report_validity,allowed_with_caveat,supported,high,medium,scaffold_result_comparison;frontier_model_evidence;independent_human_time_review;hosted_qa_env_linter,"`scaffold_result_comparison`=partial: Non-infra model rows: 2; scaffolds observed: [""one-shot""]; planned rows: 18.; `frontier_model_evidence`=partial: Non-infra model rows: 2 over 6 accepted tasks; total model rows including infra failures: 3.; `independent_human_time_review`=partial: Accepted tasks with manual_review_complete: 6/6; accepted tasks with successful independent timing observations: 0/6; observation rows: 0.; `hosted_qa_env_linter`=not_met: Hosted QA artifacts present: 0/2; hosted readiness report exists: True; blocked hosted-readiness checks: 9.","Accepted-core provider sweeps, independent timing observations, hosted QA findings/dispositions, and regenerated claim audits.","The report may make stronger empirical conclusions only when provider, timing, and hosted-QA evidence are committed and claim-conformance remains passing.","The report is a generated research review memo that makes task-quality, grading, reproducibility, and evidence-limit claims from committed artifacts.",Do not describe the report as proving frontier capability trends or benchmark-valid pass-rate effects.,reports/claim_authorization_matrix.md;reports/claim_evidence_audit.md;reports/requirement_coverage.md;reports/model_sweep_execution_packet.md;reports/human_timing_collection_packet.md;reports/hosted_qa_readiness_audit.md
accepted_core_quality,task_validity,allowed_with_caveat,supported,medium,high,portfolio_accepted_count;time_horizon_spread;independent_human_time_review,"`portfolio_accepted_count`=not_met: 6 accepted_v0 tasks; 8 calibration-only tasks; 12 rejected archive tasks.; `time_horizon_spread`=partial: Accepted bucket counts: {""T2"": 5, ""T3"": 1}; release bucket counts: {""T1"": 8, ""T2"": 5, ""T3"": 1}.; `independent_human_time_review`=partial: Accepted tasks with manual_review_complete: 6/6; accepted tasks with successful independent timing observations: 0/6; observation rows: 0.","20-50 hard-reviewed accepted tasks, stronger T3/T4 coverage, independent Lean-human timing, and refreshed per-task review.","Accepted-core quality can support benchmark-level aggregates only after scale, depth, and independent review gates are supported.",The six accepted-core tasks are internally reviewed and stronger than the original candidate pool.,"Do not say the accepted set is benchmark-grade, representative, or sufficient for population-level model claims.",reports/claim_authorization_matrix.md;reports/claim_evidence_audit.md;reports/requirement_coverage.md;reports/accepted_task_review.md;reports/task_quality_matrix.md;reports/construct_validity_matrix.md;data/human_time_observations.csv
hidden_pin_and_grader_strength,grading_validity,allowed_with_caveat,supported,medium,medium,none,none,"Independent hidden-pin review, more same-signature semantic wrong submissions for future mutable tasks, and zero grader-hardening failures.",Do not upgrade to exhaustive semantic-equivalence wording; finite pins can only support stronger finite-probe confidence after independent review.,"Hidden checks provide meaningful anti-gaming probes for accepted tasks, especially mutable-definition semantic-pin tasks.",Do not claim hidden pins prove full semantic equivalence or catch every weakened formalization.,reports/claim_authorization_matrix.md;reports/claim_evidence_audit.md;reports/requirement_coverage.md;reports/pin_coverage_audit.md;reports/grader_hardening_audit.md;tasks/*/*/hidden/PinCheck.lean
run_data_integrity,data_validity,allowed,supported,high,maintain,none,none,Keep run-integrity and pass@k arithmetic audits green after every new provider sweep.,No upgrade needed for the narrow data-integrity claim; do not extend it to performance without the performance gates.,"Committed run-result rows are internally consistent with transcripts, score vectors, failure labels, and pass@k arithmetic.","Do not infer model pass rates, scaffold effects, or failure distributions from local QA rows.",reports/claim_authorization_matrix.md;reports/claim_evidence_audit.md;reports/requirement_coverage.md;data/run_results.csv;reports/run_integrity_audit.md;data/run_results_schema.json
time_horizon_scope,construct_validity,allowed_with_caveat,partial,low,high,time_horizon_spread;independent_human_time_review;portfolio_accepted_count,"`time_horizon_spread`=partial: Accepted bucket counts: {""T2"": 5, ""T3"": 1}; release bucket counts: {""T1"": 8, ""T2"": 5, ""T3"": 1}.; `independent_human_time_review`=partial: Accepted tasks with manual_review_complete: 6/6; accepted tasks with successful independent timing observations: 0/6; observation rows: 0.; `portfolio_accepted_count`=not_met: 6 accepted_v0 tasks; 8 calibration-only tasks; 12 rejected archive tasks.","Independently timed T2/T3/T4 tasks, including at least one T4 stretch row and enough accepted tasks to avoid singleton bucket claims.",The report can claim robust time-horizon measurement only after accepted tasks cover meaningful T2/T3/T4 depth with independent timing evidence.,The artifact explores a limited T2/T3-only slice of time-horizon evaluation design.,Do not claim robust measurement of increasing time horizon or calibrated human-time scaling.,reports/claim_authorization_matrix.md;reports/claim_evidence_audit.md;reports/requirement_coverage.md;reports/human_time_calibration_audit.md;reports/human_timing_collection_packet.md;data/human_time_observations.csv
scaffold_effects,performance_claim,blocked,unsupported,none,high,scaffold_result_comparison;frontier_model_evidence,"`scaffold_result_comparison`=partial: Non-infra model rows: 2; scaffolds observed: [""one-shot""]; planned rows: 18.; `frontier_model_evidence`=partial: Non-infra model rows: 2 over 6 accepted tasks; total model rows including infra failures: 3.","Non-infra pass@k rows across accepted_v0 x one-shot/lookup/lookup_unlimited cells, with fixed k, model versions, transcripts, and run-integrity checks.",Empirical scaffold-effect claims require the planned accepted-core scaffold sweep to be covered and analyzed with raw n and intervals.,The scaffold ladder and execution plan are implemented; empirical scaffold-effect conclusions are not yet supported.,"Do not claim lookup helps, iterative compile/debug helps, or scaffold effects are measured from committed rows.",reports/claim_authorization_matrix.md;reports/claim_evidence_audit.md;reports/requirement_coverage.md;reports/evaluation_protocol.md;reports/model_sweep_execution_packet.md;reports/model_run_analysis.md
frontier_model_performance,performance_claim,blocked,unsupported,none,high,frontier_model_evidence;scaffold_result_comparison;hosted_qa_env_linter,"`frontier_model_evidence`=partial: Non-infra model rows: 2 over 6 accepted tasks; total model rows including infra failures: 3.; `scaffold_result_comparison`=partial: Non-infra model rows: 2; scaffolds observed: [""one-shot""]; planned rows: 18.; `hosted_qa_env_linter`=not_met: Hosted QA artifacts present: 0/2; hosted readiness report exists: True; blocked hosted-readiness checks: 9.","Documented frontier/open-model provider rows with model versions, transcripts, infra notes, hosted-QA-cleared tasks, and integrity audits.","Frontier-performance wording remains blocked until broad provider rows exist on stable, locally and hosted-QA-checked task versions.",No frontier-performance conclusion is authorized from the committed provider smoke rows.,Do not report committed smoke rows as characterizing frontier capability or model rankings.,reports/claim_authorization_matrix.md;reports/claim_evidence_audit.md;reports/requirement_coverage.md;reports/provider_readiness_audit.md;reports/model_run_analysis.md;data/run_results.csv
failure_taxonomy_results,failure_analysis,allowed_with_caveat,partial,low,medium,frontier_model_evidence;scaffold_result_comparison;transcript_review_packet;failure_label_review_audit,"`frontier_model_evidence`=partial: Non-infra model rows: 2 over 6 accepted tasks; total model rows including infra failures: 3.; `scaffold_result_comparison`=partial: Non-infra model rows: 2; scaffolds observed: [""one-shot""]; planned rows: 18.; `transcript_review_packet`=supported: queue rows: 3; non-local run ids covered: 3/3; template rows: 3; missing transcripts in queue: 0; prefilled template labels: 0; report exists: True.; `failure_label_review_audit`=supported: review rows: 3; queue rows covered: 3/3; audit checks: 6; required checks covered: 6/6; failures: 0; report exists: True.","Independently adjudicated non-local transcripts after broader provider sweeps, with failure-label schema, review templates, and transcript-evidence audits retained.","Dominant-failure-mode claims require enough non-local transcripts and completed adjudication rows, not author-forecast failure modes.","The repo has a failure-label schema, transcript links, a transcript review queue, and a single-review audit for the committed smoke rows.","Do not claim dominant failure modes, distributional failure analysis, or adjudicated taxonomy results.",reports/claim_authorization_matrix.md;reports/claim_evidence_audit.md;reports/requirement_coverage.md;reports/transcript_review_packet.md;reports/failure_label_review_audit.md;data/failure_label_reviews.csv;data/failure_label_review_template.csv;data/failure_label_schema.json
statistical_performance_reporting,statistical_validity,blocked,unsupported,none,high,scaffold_result_comparison;frontier_model_evidence;portfolio_accepted_count,"`scaffold_result_comparison`=partial: Non-infra model rows: 2; scaffolds observed: [""one-shot""]; planned rows: 18.; `frontier_model_evidence`=partial: Non-infra model rows: 2 over 6 accepted tasks; total model rows including infra failures: 3.; `portfolio_accepted_count`=not_met: 6 accepted_v0 tasks; 8 calibration-only tasks; 12 rejected archive tasks.","Sufficiently covered accepted-core sweeps, raw task-row numerators, Wilson intervals, and regenerated statistical reporting checks.",Performance plots should stay blocked until scaffold/provider coverage and accepted-task scale support the plotted comparisons.,Statistical reporting checks exist and currently block recommended performance plots.,"Do not publish pass@10-by-scaffold plots, family means, or confidence intervals as substantive results yet.",reports/claim_authorization_matrix.md;reports/claim_evidence_audit.md;reports/requirement_coverage.md;reports/statistical_reporting_audit.md;data/statistical_reporting_audit.csv;reports/model_run_analysis.md
hosted_qa_status,operational_validity,blocked,unsupported,none,high,hosted_qa_env_linter,`hosted_qa_env_linter`=not_met: Hosted QA artifacts present: 0/2; hosted readiness report exists: True; blocked hosted-readiness checks: 9.,"Hosted/Taiga package evidence, exact problem-version mapping, Full Env QA runs, Env Linter findings, and rebuttal/fix dispositions.",Hosted-QA wording can be upgraded only after warning/error/critical findings are fixed or concretely rebutted for exact final versions.,"Hosted/Taiga QA readiness has been audited, and the hosted QA evidence is currently absent.","Do not claim Full Env QA passed, Env Linter findings are settled, or hosted problem versions are frozen.",reports/claim_authorization_matrix.md;reports/claim_evidence_audit.md;reports/requirement_coverage.md;reports/hosted_qa_readiness_audit.md;reports/freeze_readiness_roadmap.md
locked_benchmark_status,benchmark_status,blocked,unsupported,none,highest,portfolio_accepted_count;time_horizon_spread;scaffold_result_comparison;frontier_model_evidence;independent_human_time_review;hosted_qa_env_linter,"`portfolio_accepted_count`=not_met: 6 accepted_v0 tasks; 8 calibration-only tasks; 12 rejected archive tasks.; `time_horizon_spread`=partial: Accepted bucket counts: {""T2"": 5, ""T3"": 1}; release bucket counts: {""T1"": 8, ""T2"": 5, ""T3"": 1}.; `scaffold_result_comparison`=partial: Non-infra model rows: 2; scaffolds observed: [""one-shot""]; planned rows: 18.; `frontier_model_evidence`=partial: Non-infra model rows: 2 over 6 accepted tasks; total model rows including infra failures: 3.; `independent_human_time_review`=partial: Accepted tasks with manual_review_complete: 6/6; accepted tasks with successful independent timing observations: 0/6; observation rows: 0.; `hosted_qa_env_linter`=not_met: Hosted QA artifacts present: 0/2; hosted readiness report exists: True; blocked hosted-readiness checks: 9.","20-50 accepted tasks, T2/T3/T4 depth, independent timing, completed scaffold/provider sweeps, hosted QA, settled findings, and frozen exact public versions.",The locked-benchmark claim remains blocked until every locked-benchmark requirement is supported and the release/freeze gates have no blocking rows.,v0.1 is not a locked benchmark; it is a local v0.1 research artifact with explicit blockers.,"Do not call v0.1 final, locked, population-valid, or suitable for benchmark headline claims.",reports/claim_authorization_matrix.md;reports/claim_evidence_audit.md;reports/requirement_coverage.md;reports/freeze_readiness_roadmap.md;reports/release_decision_log.md;reports/threats_to_validity.md
