task_id,split,family,scaffold,model,model_version,job_id,attempts_total,attempts_completed,k,successes_out_of_k,pass_at_k,timeout_count,infra_fail_count,score_values,transcript_link,failure_label,qa_stage,qa_findings_status
lt-001,dev,algorithm_correctness,one-shot,reference_solution,lean-4.28.0-local,local-qa-reference_solution-lt-001,1,1,1,1,1.0,0,0,1.0,transcripts/local-qa/lt-001.jsonl,none,local_qa,passed
lt-001,dev,algorithm_correctness,one-shot,plausible_wrong:Weakened,lean-4.28.0-local,local-qa-plausible_wrong:Weakened-lt-001,1,1,1,0,0.0,0,0,0.0,transcripts/local-qa/lt-001.jsonl,hidden_pin_failure,local_qa,expected_failure
lt-002,dev,algorithm_correctness,one-shot,reference_solution,lean-4.28.0-local,local-qa-reference_solution-lt-002,1,1,1,1,1.0,0,0,1.0,transcripts/local-qa/lt-002.jsonl,none,local_qa,passed
lt-002,dev,algorithm_correctness,one-shot,plausible_wrong:Weakened,lean-4.28.0-local,local-qa-plausible_wrong:Weakened-lt-002,1,1,1,0,0.0,0,0,0.0,transcripts/local-qa/lt-002.jsonl,hidden_pin_failure,local_qa,expected_failure
lt-003,dev,proof_repair_codebase,one-shot,reference_solution,lean-4.28.0-local,local-qa-reference_solution-lt-003,1,1,1,1,1.0,0,0,1.0,transcripts/local-qa/lt-003.jsonl,none,local_qa,passed
lt-003,dev,proof_repair_codebase,one-shot,plausible_wrong:OldApiProof,lean-4.28.0-local,local-qa-plausible_wrong:OldApiProof-lt-003,1,1,1,0,0.0,0,0,0.0,transcripts/local-qa/lt-003.jsonl,hidden_pin_failure,local_qa,expected_failure
lt-004,dev,informal_spec_to_formal,one-shot,reference_solution,lean-4.28.0-local,local-qa-reference_solution-lt-004,1,1,1,1,1.0,0,0,1.0,transcripts/local-qa/lt-004.jsonl,none,local_qa,passed
lt-004,dev,informal_spec_to_formal,one-shot,plausible_wrong:Vacuous,lean-4.28.0-local,local-qa-plausible_wrong:Vacuous-lt-004,1,1,1,0,0.0,0,0,0.0,transcripts/local-qa/lt-004.jsonl,hidden_pin_failure,local_qa,expected_failure
lt-005,dev,invariant_verification_ml_optimization,one-shot,reference_solution,lean-4.28.0-local,local-qa-reference_solution-lt-005,1,1,1,1,1.0,0,0,1.0,transcripts/local-qa/lt-005.jsonl,none,local_qa,passed
lt-005,dev,invariant_verification_ml_optimization,one-shot,plausible_wrong:IdentityProjection,lean-4.28.0-local,local-qa-plausible_wrong:IdentityProjection-lt-005,1,1,1,0,0.0,0,0,0.0,transcripts/local-qa/lt-005.jsonl,hidden_pin_failure,local_qa,expected_failure
lt-101,test,algorithm_correctness,one-shot,reference_solution,lean-4.28.0-local,local-qa-reference_solution-lt-101,1,1,1,1,1.0,0,0,1.0,transcripts/local-qa/lt-101.jsonl,none,local_qa,passed
lt-101,test,algorithm_correctness,one-shot,plausible_wrong:WeakHelper,lean-4.28.0-local,local-qa-plausible_wrong:WeakHelper-lt-101,1,1,1,0,0.0,0,0,0.0,transcripts/local-qa/lt-101.jsonl,hidden_pin_failure,local_qa,expected_failure
lt-102,test,algorithm_correctness,one-shot,reference_solution,lean-4.28.0-local,local-qa-reference_solution-lt-102,1,1,1,1,1.0,0,0,1.0,transcripts/local-qa/lt-102.jsonl,none,local_qa,passed
lt-102,test,algorithm_correctness,one-shot,plausible_wrong:AllSomeOnly,lean-4.28.0-local,local-qa-plausible_wrong:AllSomeOnly-lt-102,1,1,1,0,0.0,0,0,0.0,transcripts/local-qa/lt-102.jsonl,hidden_pin_failure,local_qa,expected_failure
lt-103,test,algorithm_correctness,one-shot,reference_solution,lean-4.28.0-local,local-qa-reference_solution-lt-103,1,1,1,1,1.0,0,0,1.0,transcripts/local-qa/lt-103.jsonl,none,local_qa,passed
lt-103,test,algorithm_correctness,one-shot,plausible_wrong:LeafOnly,lean-4.28.0-local,local-qa-plausible_wrong:LeafOnly-lt-103,1,1,1,0,0.0,0,0,0.0,transcripts/local-qa/lt-103.jsonl,hidden_pin_failure,local_qa,expected_failure
lt-104,test,proof_repair_codebase,one-shot,reference_solution,lean-4.28.0-local,local-qa-reference_solution-lt-104,1,1,1,1,1.0,0,0,1.0,transcripts/local-qa/lt-104.jsonl,none,local_qa,passed
lt-104,test,proof_repair_codebase,one-shot,plausible_wrong:EmptyOnly,lean-4.28.0-local,local-qa-plausible_wrong:EmptyOnly-lt-104,1,1,1,0,0.0,0,0,0.0,transcripts/local-qa/lt-104.jsonl,hidden_pin_failure,local_qa,expected_failure
lt-105,test,proof_repair_codebase,one-shot,reference_solution,lean-4.28.0-local,local-qa-reference_solution-lt-105,1,1,1,1,1.0,0,0,1.0,transcripts/local-qa/lt-105.jsonl,none,local_qa,passed
lt-105,test,proof_repair_codebase,one-shot,plausible_wrong:SingleIncrementOnly,lean-4.28.0-local,local-qa-plausible_wrong:SingleIncrementOnly-lt-105,1,1,1,0,0.0,0,0,0.0,transcripts/local-qa/lt-105.jsonl,hidden_pin_failure,local_qa,expected_failure
lt-106,test,informal_spec_to_formal,one-shot,reference_solution,lean-4.28.0-local,local-qa-reference_solution-lt-106,1,1,1,1,1.0,0,0,1.0,transcripts/local-qa/lt-106.jsonl,none,local_qa,passed
lt-106,test,informal_spec_to_formal,one-shot,plausible_wrong:Reversed,lean-4.28.0-local,local-qa-plausible_wrong:Reversed-lt-106,1,1,1,0,0.0,0,0,0.0,transcripts/local-qa/lt-106.jsonl,hidden_pin_failure,local_qa,expected_failure
lt-107,test,informal_spec_to_formal,one-shot,reference_solution,lean-4.28.0-local,local-qa-reference_solution-lt-107,1,1,1,1,1.0,0,0,1.0,transcripts/local-qa/lt-107.jsonl,none,local_qa,passed
lt-107,test,informal_spec_to_formal,one-shot,plausible_wrong:Vacuous,lean-4.28.0-local,local-qa-plausible_wrong:Vacuous-lt-107,1,1,1,0,0.0,0,0,0.0,transcripts/local-qa/lt-107.jsonl,hidden_pin_failure,local_qa,expected_failure
lt-108,test,informal_spec_to_formal,one-shot,reference_solution,lean-4.28.0-local,local-qa-reference_solution-lt-108,1,1,1,1,1.0,0,0,1.0,transcripts/local-qa/lt-108.jsonl,none,local_qa,passed
lt-108,test,informal_spec_to_formal,one-shot,plausible_wrong:Vacuous,lean-4.28.0-local,local-qa-plausible_wrong:Vacuous-lt-108,1,1,1,0,0.0,0,0,0.0,transcripts/local-qa/lt-108.jsonl,hidden_pin_failure,local_qa,expected_failure
lt-109,test,invariant_verification_ml_optimization,one-shot,reference_solution,lean-4.28.0-local,local-qa-reference_solution-lt-109,1,1,1,1,1.0,0,0,1.0,transcripts/local-qa/lt-109.jsonl,none,local_qa,passed
lt-109,test,invariant_verification_ml_optimization,one-shot,plausible_wrong:SpendAlwaysSubtract,lean-4.28.0-local,local-qa-plausible_wrong:SpendAlwaysSubtract-lt-109,1,1,1,0,0.0,0,0,0.0,transcripts/local-qa/lt-109.jsonl,hidden_pin_failure,local_qa,expected_failure
lt-110,test,invariant_verification_ml_optimization,one-shot,reference_solution,lean-4.28.0-local,local-qa-reference_solution-lt-110,1,1,1,1,1.0,0,0,1.0,transcripts/local-qa/lt-110.jsonl,none,local_qa,passed
lt-110,test,invariant_verification_ml_optimization,one-shot,plausible_wrong:OnlySmallGrad,lean-4.28.0-local,local-qa-plausible_wrong:OnlySmallGrad-lt-110,1,1,1,0,0.0,0,0,0.0,transcripts/local-qa/lt-110.jsonl,hidden_pin_failure,local_qa,expected_failure
lt-111,test,invariant_verification_ml_optimization,one-shot,reference_solution,lean-4.28.0-local,local-qa-reference_solution-lt-111,1,1,1,1,1.0,0,0,1.0,transcripts/local-qa/lt-111.jsonl,none,local_qa,passed
lt-111,test,invariant_verification_ml_optimization,one-shot,plausible_wrong:NoUpperClip,lean-4.28.0-local,local-qa-plausible_wrong:NoUpperClip-lt-111,1,1,1,0,0.0,0,0,0.0,transcripts/local-qa/lt-111.jsonl,hidden_pin_failure,local_qa,expected_failure
lt-112,test,small_formal_library_construction,one-shot,reference_solution,lean-4.28.0-local,local-qa-reference_solution-lt-112,1,1,1,1,1.0,0,0,1.0,transcripts/local-qa/lt-112.jsonl,none,local_qa,passed
lt-112,test,small_formal_library_construction,one-shot,plausible_wrong:ProjectionAdd,lean-4.28.0-local,local-qa-plausible_wrong:ProjectionAdd-lt-112,1,1,1,0,0.0,0,0,0.0,transcripts/local-qa/lt-112.jsonl,hidden_pin_failure,local_qa,expected_failure
lt-113,test,small_formal_library_construction,one-shot,reference_solution,lean-4.28.0-local,local-qa-reference_solution-lt-113,1,1,1,1,1.0,0,0,1.0,transcripts/local-qa/lt-113.jsonl,none,local_qa,passed
lt-113,test,small_formal_library_construction,one-shot,plausible_wrong:ReverseAppend,lean-4.28.0-local,local-qa-plausible_wrong:ReverseAppend-lt-113,1,1,1,0,0.0,0,0,0.0,transcripts/local-qa/lt-113.jsonl,hidden_pin_failure,local_qa,expected_failure
lt-114,test,small_formal_library_construction,one-shot,reference_solution,lean-4.28.0-local,local-qa-reference_solution-lt-114,1,1,1,1,1.0,0,0,1.0,transcripts/local-qa/lt-114.jsonl,none,local_qa,passed
lt-114,test,small_formal_library_construction,one-shot,plausible_wrong:IdentityMap,lean-4.28.0-local,local-qa-plausible_wrong:IdentityMap-lt-114,1,1,1,0,0.0,0,0,0.0,transcripts/local-qa/lt-114.jsonl,hidden_pin_failure,local_qa,expected_failure
lt-115,test,direct_theorem_proving,one-shot,reference_solution,lean-4.28.0-local,local-qa-reference_solution-lt-115,1,1,1,1,1.0,0,0,1.0,transcripts/local-qa/lt-115.jsonl,none,local_qa,passed
lt-115,test,direct_theorem_proving,one-shot,plausible_wrong:NeedsExtraHyp,lean-4.28.0-local,local-qa-plausible_wrong:NeedsExtraHyp-lt-115,1,1,1,0,0.0,0,0,0.0,transcripts/local-qa/lt-115.jsonl,hidden_pin_failure,local_qa,expected_failure
lt-201,candidates,proof_repair_codebase,one-shot,reference_solution,lean-4.28.0-local,local-qa-reference_solution-lt-201,1,1,1,1,1.0,0,0,1.0,transcripts/local-qa/lt-201.jsonl,none,local_qa,passed
lt-201,candidates,proof_repair_codebase,one-shot,plausible_wrong:OldEntryOnly,lean-4.28.0-local,local-qa-plausible_wrong:OldEntryOnly-lt-201,1,1,1,0,0.0,0,0,0.0,transcripts/local-qa/lt-201.jsonl,hidden_pin_failure,local_qa,expected_failure
lt-202,candidates,direct_theorem_proving,one-shot,reference_solution,lean-4.28.0-local,local-qa-reference_solution-lt-202,1,1,1,1,1.0,0,0,1.0,transcripts/local-qa/lt-202.jsonl,none,local_qa,passed
lt-202,candidates,direct_theorem_proving,one-shot,plausible_wrong:MissingSurjectivity,lean-4.28.0-local,local-qa-plausible_wrong:MissingSurjectivity-lt-202,1,1,1,0,0.0,0,0,0.0,transcripts/local-qa/lt-202.jsonl,hidden_pin_failure,local_qa,expected_failure
lt-203,candidates,informal_spec_to_formal,one-shot,reference_solution,lean-4.28.0-local,local-qa-reference_solution-lt-203,1,1,1,1,1.0,0,0,1.0,transcripts/local-qa/lt-203.jsonl,none,local_qa,passed
lt-203,candidates,informal_spec_to_formal,one-shot,plausible_wrong:Vacuous,lean-4.28.0-local,local-qa-plausible_wrong:Vacuous-lt-203,1,1,1,0,0.0,0,0,0.0,transcripts/local-qa/lt-203.jsonl,hidden_pin_failure,local_qa,expected_failure
lt-204,candidates,invariant_verification_ml_optimization,one-shot,reference_solution,lean-4.28.0-local,local-qa-reference_solution-lt-204,1,1,1,1,1.0,0,0,1.0,transcripts/local-qa/lt-204.jsonl,none,local_qa,passed
lt-204,candidates,invariant_verification_ml_optimization,one-shot,plausible_wrong:LengthOnly,lean-4.28.0-local,local-qa-plausible_wrong:LengthOnly-lt-204,1,1,1,0,0.0,0,0,0.0,transcripts/local-qa/lt-204.jsonl,hidden_pin_failure,local_qa,expected_failure
lt-205,candidates,small_formal_library_construction,one-shot,reference_solution,lean-4.28.0-local,local-qa-reference_solution-lt-205,1,1,1,1,1.0,0,0,1.0,transcripts/local-qa/lt-205.jsonl,none,local_qa,passed
lt-205,candidates,small_formal_library_construction,one-shot,plausible_wrong:SetMembershipOnly,lean-4.28.0-local,local-qa-plausible_wrong:SetMembershipOnly-lt-205,1,1,1,0,0.0,0,0,0.0,transcripts/local-qa/lt-205.jsonl,hidden_pin_failure,local_qa,expected_failure
